depot,fleet_size,mode,configuration,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
depot_a,16,selfish,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_a,16,selfish,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_a,16,selfish,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_a,16,selfish,rule_text_event_trigger,optimizer_latency_seconds_mean,3,4.216244,0.018394525347233286,4.196623499999999,4.2330995
depot_a,16,selfish,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,5.403645833333333,0.07903120263277874,5.3125,5.453125
depot_a,16,selfish,rule_text_event_trigger,solver_wall_seconds_mean,3,0.9113953333333334,0.007399912707818462,0.9051705,0.919577
depot_a,16,selfish,rule_text_event_trigger,solver_wall_seconds_max,3,1.0081306666666665,0.003193753956292346,1.00579,1.011769
depot_a,16,selfish,rule_text_event_trigger,solver_model_variables_max,3,19620.0,0.0,19620.0,19620.0
depot_a,16,selfish,rule_text_event_trigger,solver_model_constraints_max,3,11449.0,0.0,11449.0,11449.0
depot_a,16,selfish,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,16,selfish,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_a,32,altruistic,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,32,altruistic,full_agentic,mode_aligned_economic_score,3,-449.48850707951215,3.133844402483553,-453.1071588982567,-447.6791811701399
depot_a,32,altruistic,full_agentic,run_wall_seconds,3,84.57372666666667,6.659891981478708,79.245109,92.039966
depot_a,32,altruistic,full_agentic,run_process_cpu_seconds,3,48.015625,1.579980345012241,46.84375,49.8125
depot_a,32,altruistic,full_agentic,run_peak_rss_mb,3,814.1640000000001,16.797906506466813,796.285,829.6169999999998
depot_a,32,altruistic,full_agentic,llm_latency_seconds,3,64.12212766666666,4.357267345646159,60.181352,68.801481
depot_a,32,altruistic,full_agentic,llm_total_tokens,3,218015.66666666666,793.2750678883922,217381.0,218905.0
depot_a,32,altruistic,full_agentic,llm_approximate_cost_usd,3,0.04721086333333333,0.002070904380828176,0.04558401,0.04954207
depot_a,32,altruistic,full_agentic,optimizer_latency_seconds_mean,3,9.151855333333332,1.2008600181754467,8.45824,10.538489
depot_a,32,altruistic,full_agentic,optimizer_process_cpu_seconds_mean,3,22.307291666666668,0.7751454206644603,21.7265625,23.1875
depot_a,32,altruistic,full_agentic,solver_wall_seconds_mean,3,4.500892666666666,1.1485199867699663,3.8370045000000004,5.827089
depot_a,32,altruistic,full_agentic,solver_wall_seconds_max,3,5.287256333333334,2.426718397164643,3.869773,8.089325
depot_a,32,altruistic,full_agentic,solver_model_variables_max,3,76068.0,0.0,76068.0,76068.0
depot_a,32,altruistic,full_agentic,solver_model_constraints_max,3,41263.0,0.0,41263.0,41263.0
depot_a,32,altruistic,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,32,altruistic,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,32,altruistic,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
